Data; Group; Nome_POD; PING
ter 21 fev 2023 15:32:12 -03; Group 1; result-77f68799c4-6wtfp; 007.00
ter 21 fev 2023 15:32:19 -03; Group 1; result-77f68799c4-6wtfp; 007.01
ter 21 fev 2023 15:32:27 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:32:34 -03; Group 1; vote-79787c6c8b-5fj8v; 7.11
ter 21 fev 2023 15:32:42 -03; Group 1; vote-79787c6c8b-5fj8v; 7.14
ter 21 fev 2023 15:32:49 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:32:57 -03; Group 1; vote-79787c6c8b-5fj8v; 7.19
ter 21 fev 2023 15:33:05 -03; Group 1; vote-79787c6c8b-5fj8v; 7.21
ter 21 fev 2023 15:33:12 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:33:20 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:33:27 -03; Group 1; vote-79787c6c8b-5fj8v; 7.12
ter 21 fev 2023 15:33:35 -03; Group 1; vote-79787c6c8b-5fj8v; 7.15
ter 21 fev 2023 15:33:42 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:33:50 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:33:57 -03; Group 1; vote-79787c6c8b-5fj8v; 7.19
ter 21 fev 2023 15:34:05 -03; Group 1; vote-79787c6c8b-5fj8v; 7.20
ter 21 fev 2023 15:34:13 -03; Group 1; vote-79787c6c8b-5fj8v; 7.15
ter 21 fev 2023 15:34:20 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:34:28 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:34:35 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:34:43 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:34:50 -03; Group 1; vote-79787c6c8b-5fj8v; 7.20
ter 21 fev 2023 15:34:58 -03; Group 1; vote-79787c6c8b-5fj8v; 7.18
ter 21 fev 2023 15:35:06 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:35:13 -03; Group 1; vote-79787c6c8b-5fj8v; 7.18
ter 21 fev 2023 15:35:21 -03; Group 1; vote-79787c6c8b-5fj8v; 7.13
ter 21 fev 2023 15:35:28 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:35:36 -03; Group 1; vote-79787c6c8b-5fj8v; 7.19
ter 21 fev 2023 15:35:44 -03; Group 1; vote-79787c6c8b-5fj8v; 7.19
ter 21 fev 2023 15:35:51 -03; Group 1; vote-79787c6c8b-5fj8v; 7.16
ter 21 fev 2023 15:35:59 -03; Group 1; vote-79787c6c8b-5fj8v; 7.17
ter 21 fev 2023 15:36:06 -03; Group 1; vote-79787c6c8b-5fj8v; 7.22
ter 21 fev 2023 15:36:14 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:36:21 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:36:29 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:36:36 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:36:44 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:36:51 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:36:58 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:37:06 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:37:13 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:37:21 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:37:28 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:37:35 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:37:43 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:37:50 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:37:58 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:38:05 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:12 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:20 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:27 -03; Group 1; worker-78b9ff59fc-65vg4; 007.02
ter 21 fev 2023 15:38:35 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:42 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:50 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:38:57 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:39:04 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:39:12 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:39:19 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:39:26 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:39:34 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
ter 21 fev 2023 15:39:41 -03; Group 1; worker-78b9ff59fc-65vg4; 007.00
ter 21 fev 2023 15:39:49 -03; Group 1; worker-78b9ff59fc-65vg4; 007.01
